Subject,Catalog Number,Section,Class Number,Title,Units,Days,Time,Building,Room Number,Instructor
ANTH,897,037,10242,SEM: SELECTED TOPICS,1,F,"09:05 - 11:35 Environment, Populat",Greenlaw RBuilding,526A,"LESLIE,PAUL W"
ANTH,897,081,13387,SEM: SELECTED TOPICS,1,Tu,09:30 - 12:00 Proposal Writing and,Greenlaw RBuilding,526A,"WEST,COLIN THOR"
ANTH,898,075,5781,SEM: SELECTED TOPICS,1,Th,15:30 - 18:00 Decolonizing Methodo,Hanes Art Center RBuilding,0117,"MCANANY,PATRICIA A"
ANTH,898,083,13389,SEM: SELECTED TOPICS,1,W,"10:10 - 12:40 Ruins, Remains, Afte",Murphey RBuilding,0117,"MIDDLETON,CHRISTOPHER TOWNSEND"
ANTH,901,001,5444,READING & RESEARCH,1,TBA,TBA,TBA RBuilding,TBA,Staff
ANTH,901,002,5502,READING & RESEARCH,1,TBA,TBA,TBA RBuilding,TBA,"STEPONAITIS,VINCAS P"
ANTH,901,036,4891,READING & RESEARCH,1,TBA,TBA,TBA RBuilding,TBA,"HINSON,GLENN D"
ANTH,901,047,4802,READING & RESEARCH,1,TBA,TBA,TBA RBuilding,TBA,"WIENER,MARGARET J"
ANTH,901,048,3268,READING & RESEARCH,1,TBA,TBA,TBA RBuilding,TBA,"SCARRY,Clara Margaret"
ANTH,901,056,9994,READING & RESEARCH,1,TBA,TBA,TBA RBuilding,TBA,"SLOCUM,KARLA"
ANTH,901,058,4835,READING & RESEARCH,1,TBA,TBA,TBA RBuilding,TBA,"LAMBERT,VALERIE L"
ANTH,901,063,4770,READING & RESEARCH,1,TBA,TBA,TBA RBuilding,TBA,"HUTCHINSON,DALE L"
ANTH,901,064,5245,READING & RESEARCH,1,TBA,TBA,TBA RBuilding,TBA,"NELSON,CHRISTOPHER T"
ANTH,901,067,2696,READING & RESEARCH,1,TBA,TBA,TBA RBuilding,TBA,"SORENSEN,MARK V"
ANTH,901,073,2697,READING & RESEARCH,1,TBA,TBA,TBA RBuilding,TBA,"RIVKIN-FISH,MICHELE R"
ANTH,901,075,4769,READING & RESEARCH,1,TBA,TBA,TBA RBuilding,TBA,"MCANANY,PATRICIA A"
ANTH,901,076,2790,READING & RESEARCH,1,TBA,TBA,TBA RBuilding,TBA,"COLLOREDO-MANSFELD,RUDOLF J"
